"","Age","Sex","Lifestage","with.pup","OG","Perc_5","Perc_10","Perc_20"
"1",0,"F","pup","no",6746.4536526426,6836.33628151895,6939.10409843705,7196.23297866984
"2",0,"M","pup","no",8333.7454506235,8445.03375658875,8572.2806009614,8890.67899770607
"3",1,"F","juvenile","no",9478.50456797393,9610.82251540867,9762.27943445537,10142.0290007305
"4",1,"M","juvenile","no",11665.0453720727,11827.5846760556,12013.6285195278,12480.0712021076
"5",2,"F","adult","no",9805.13874025389,9947.18375357975,10109.933300353,10518.7430937937
"6",2,"F","adult","yes",12996.6183746785,13092.0668048119,13200.5144994198,13468.7047775259
"7",2,"M","subadult","no",13687.5691714802,13836.505555594,14005.8566445244,14425.2592733074
"8",3,"F","adult","no",10690.2622544319,10860.0183240341,11055.0805568194,11547.7238155713
"9",3,"F","adult","yes",13760.889967259,13873.7015910315,14002.1284162041,14320.8797380258
"10",3,"M","adult","no",14691.887317314,14823.458824048,14972.4485079415,15338.6290062253
"11",4,"F","adult","no",11185.8298307088,11372.1602889116,11586.6141964976,12129.8883155399
"12",4,"F","adult","yes",14185.3243831018,14308.3884766538,14448.6392103386,14797.4396066207
"13",4,"M","adult","no",15662.5320815266,15812.4838765952,15982.5060430932,16401.3701473209
"14",5,"F","adult","no",11470.2778166791,11666.4589216312,11892.4598218123,12465.9916926493
"15",5,"F","adult","yes",14427.8583653771,14556.9717526769,14704.2078906946,15070.8031108313
"16",5,"M","adult","no",16277.3876874765,16439.6049835276,16623.6845967251,17077.8630063793
"17",6,"F","adult","no",11642.9551835286,11845.2305646468,12078.3831931854,12670.6952726732
"18",6,"F","adult","yes",14574.7318749787,14707.5719124605,14859.1145977872,15236.6957008076
"19",6,"M","adult","no",16673.4018246383,16843.7727433751,17037.2065889026,17514.9278153157
"20",7,"F","adult","no",11744.349785913,11950.2451819058,12187.6487978451,12791.1380609947
"21",7,"F","adult","yes",14660.8432434593,14795.8913034363,14949.9867350463,15334.0852414381
"22",7,"M","adult","no",16920.7724295275,17096.3387910058,17295.7369183325,17788.4868846229
"23",8,"F","adult","no",11817.2344703487,12025.745300331,12266.2215295961,12877.796207959
"24",8,"F","adult","yes",14722.7060101258,14859.3467787835,15015.2840988535,15404.087604799
"25",8,"M","adult","no",17079.4896486348,17258.4300578846,17461.7031028211,17964.2243594024
"26",9,"F","adult","no",11861.0769182707,12071.1689875584,12313.5033861235,12929.9703878507
"27",9,"F","adult","yes",14759.8928959555,14897.495546748,15054.545445963,15446.1919754822
"28",9,"M","adult","no",17183.3053182945,17364.4693934392,17570.2968705186,18079.262699301
"29",10,"F","adult","no",11897.7736423274,12109.1903124662,12353.0816008476,12973.6492283952
"30",10,"F","adult","yes",14791.0189059751,14929.426724844,15087.4080581932,15481.4353022502
"31",10,"M","adult","no",17245.6572309253,17428.1643476324,17635.5348967614,18148.3949331422
"32",11,"F","adult","no",11927.2103653149,12139.6912515411,12384.8335835867,13008.6972919347
"33",11,"F","adult","yes",14815.9830251894,14955.0373416518,15113.7666357961,15509.7060236509
"34",11,"M","adult","no",17287.2846389266,17470.6908143443,17679.0944336657,18194.5621009386
"35",12,"F","adult","no",11941.9075315731,12154.9220420883,12400.6917456832,13026.2087060268
"36",12,"F","adult","yes",14828.4385322385,14967.816886927,15126.9211014704,15523.8190917595
"37",12,"M","adult","no",17315.0752907664,17499.082485877,17708.176759192,18225.387968695
"38",13,"F","adult","no",11956.653912433,12170.2030602278,12416.6013713281,13043.7750669265
"39",13,"F","adult","yes",14840.9396759536,14980.6425959892,15140.1223586551,15537.9806415516
"40",13,"M","adult","no",17335.9582878647,17520.4171139069,17730.0303982092,18248.551958235
"41",14,"F","adult","no",11971.4395164767,12185.5243161657,12432.5524728412,13061.3863936183
"42",14,"F","adult","yes",14853.4764601174,14993.5044732485,15153.3604125535,15552.1806805971
"43",14,"M","adult","no",17349.8950546536,17534.6553808944,17744.6151590359,18264.0115705113
"44",15,"F","adult","no",11986.2443522971,12200.865820122,12448.5250625599,13079.0227051191
"45",15,"F","adult","yes",14866.0288885159,15006.382523119,15166.6152683738,15566.3992164749
"46",15,"M","adult","no",17356.8398692464,17541.7510695505,17751.8842406791,18271.7184635397
"47",16,"F","adult","no",11993.6402348118,12208.5304183045,12456.5056693566,13087.8364861244
"48",16,"F","adult","yes",14872.2972204873,15012.813864164,15173.2352486337,15573.5016730967
"49",16,"M","adult","no",17363.82563823,17548.8877952803,17759.1944568248,18279.4667483244
"50",17,"F","adult","no",12001.0484284979,12216.2075823301,12464.4991528393,13096.6640204777
"51",17,"F","adult","yes",14878.5769649388,15019.256750019,15179.8669313298,15580.6162567728
"52",17,"M","adult","no",17363.78563823,17548.8477952803,17759.1544568248,18279.4267483244
"53",18,"F","adult","no",12008.4589344324,12223.8873134803,12472.4955145552,13105.4953105654
"54",18,"F","adult","yes",14884.8581223444,15025.701181237,15186.5003171144,15587.732968453
"55",18,"M","adult","no",17363.75563823,17548.8177952803,17759.1244568248,18279.3967483244
"56",19,"F","adult","no",12008.4335058054,12223.8618848533,12472.4700859282,13105.4698819384
"57",19,"F","adult","yes",14884.8326937174,15025.67575261,15186.4748884874,15587.707539826
"58",19,"M","adult","no",17370.7823617983,17555.9955583081,17766.475807735,18287.1864252375
